Year_Sampled,Species,OsHV_var,Paper,Title
2011,Donax trunculus,OsHV-1,Garcia et al. 2018,"Descriptions of Mikrocytos veneroïdes n. sp. and Mikrocytos donaxi n. sp. (Ascetosporea: Mikrocytida: Mikrocytiidae), detected during important mortality events of the wedge clam Donax trunculus Linnaeus (Veneroida: Donacidae), in France between 2008 and 2011"
2011,Magallana gigas,OsHV-1 μVar,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread
2011,Magallana gigas,OsHV-1 μVar,Hwang et al. 2013,Ostreid herpesvirus 1 infection in farmed Pacific oyster larvae Crassostrea gigas (Thunberg) in Korea
2011,Magallana gigas,OsHV-1 μVar,Carrasco et al. 2017,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μVar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain"
2011,Magallana gigas,OsHV-1 μVar,Petton et al. 2015,Factors influencing disease-induced mortality of Pacific oysters Crassostrea gigas
2011,Magallana gigas,OsHV-1 μVar,Grijalva-Chon et al. 2013,"Detection of a new OsHV-1 DNA strain in the healthyPacific oyster,Crassostrea gigasThunberg, from the Gulfof California"
2011,Magallana gigas,OsHV-1 μVar,Martenot et al. 2012,Detection of the OsHV-1 μVar in the Pacific oyster Crassostrea gigas before 2008 in France and description of two new microvariants of the Ostreid Herpesvirus 1 (OsHV-1)
2011,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2011,Magallana gigas,OsHV-1 non-μvar variant,Trancart et al. 2023,Diversity and molecular epidemiology of Ostreid herpesvirus 1 in farmed Crassostrea gigas in Australia: Geographic clusters and implications for “microvariants” in global mortality events
2011,Magallana gigas,OsHV-1 μVar,Paul-Pont et al. 2013,Influence of husbandry practices on OsHV-1 associated mortality of Pacific oysters Crassostrea gigas
2011,Magallana gigas,OsHV-1 μVar,Keeling et al. 2014,New Zealand juvenile oyster mortality associated with ostreid herpesvirus 1—an opportunistic longitudinal study
2011,Magallana gigas,OsHV-1,Whittington et al. 2013,"Final Report: 2011/053 Aquatic Animal Health Subprogram: Pacific oyster mortality syndrome (POMS) – understanding biotic and abiotic environmental and husbandry effects to reduce economic losses
"
2011,Saccostrea glomerata,OsHV-1,Whittington et al. 2013,"Final Report: 2011/053 Aquatic Animal Health Subprogram: Pacific oyster mortality syndrome (POMS) – understanding biotic and abiotic environmental and husbandry effects to reduce economic losses
"
2011,Magallana gigas,OsHV-1 μVar,Domeneghetti et al. 2014,"Mortality occurrence and pathogen detection in Crassostrea gigas and Mytilus galloprovincialis close-growing in shallow waters (Goro lagoon, Italy)"
2011,Mytilus galloprovincialis,OsHV-1 μVar,Domeneghetti et al. 2014,"Mortality occurrence and pathogen detection in Crassostrea gigas and Mytilus galloprovincialis close-growing in shallow waters (Goro lagoon, Italy)"
2011,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2016,An investigation of ostreid herpes virus microvariants found in Crassostrea gigas oyster producing bays in Ireland
2012,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2012,Patinopecten yessoensis,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2012,Scapharca broughtonii,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2012,Magallana gigas,OsHV-1,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy"
2012,Crassostrea corteziensis,OsHV-1,Martínez-García et al. 2017,"OsHV-1 and notifiable protozoa in healthy Crassostrea corteziensis cultured in two distant areas of the Gulf of California
"
2012,Scapharca broughtonii,OsHV-1,Bai et al. 2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China
2012,Scapharca broughtonii,OsHV-1,Xia et al. 2015,Complete genome sequence of Ostreid herpesvirus-1 associated with mortalities of Scapharca broughtonii broodstocks
2012,Magallana gigas,OsHV-1 μVar,Prado-Alvarez et al. 2015,Occurrence of OsHV-1 in Crassostrea gigas Cultured in Ireland during an Exceptionally Warm Summer. Selection of Less Susceptible Oysters
2012,Magallana gigas,OsHV-1 μVar,Jee et al. 2013,Detection of Ostreid Herpesvirus 1 from adult Pacific Oysters Crassostrea gigas Cultured in Korea
2012,Anadara trapezia,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Magallana gigas,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Mytilus spp.,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Pyrazus ebeninus,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Saccostrea glomerata,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Trichomya hirsuta,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2012,Magallana gigas,OsHV-1 μVar,Martenot et al. 2015,"Detection of undescribed ostreid herpesvirus 1 (OsHV-1) specimens from Pacific oyster, Crassostrea gigas"
2012,Magallana gigas,OsHV-1 μVar,Carrasco et al. 2017,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μVar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain"
2012,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2017,Mortality in Crassostrea gigas oysters in Ireland during 2012
2012,Magallana gigas,OsHV-1 μVar,Whittington et al. 2015,"Further observations on the influence of husbandry practices on OsHV-1 μVar mortality in Pacific oysters Crassostrea gigas: Age, cultivation structures and growing height"
2012,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2012,Ostrea edulis,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2012,Magallana gigas,OsHV-1 non-μvar variant,Trancart et al. 2023,Diversity and molecular epidemiology of Ostreid herpesvirus 1 in farmed Crassostrea gigas in Australia: Geographic clusters and implications for “microvariants” in global mortality events
2012,Magallana gigas,OsHV-1 μVar,Paul-Pont et al. 2013,Influence of husbandry practices on OsHV-1 associated mortality of Pacific oysters Crassostrea gigas
2012,Magallana gigas,OsHV-1 μVar,Keeling et al. 2014,New Zealand juvenile oyster mortality associated with ostreid herpesvirus 1—an opportunistic longitudinal study
2012,Magallana gigas,OsHV-1,Whittington et al. 2013,"Final Report: 2011/053 Aquatic Animal Health Subprogram: Pacific oyster mortality syndrome (POMS) – understanding biotic and abiotic environmental and husbandry effects to reduce economic losses
"
2012,Saccostrea glomerata,OsHV-1,Whittington et al. 2013,"Final Report: 2011/053 Aquatic Animal Health Subprogram: Pacific oyster mortality syndrome (POMS) – understanding biotic and abiotic environmental and husbandry effects to reduce economic losses
"
2012,Magallana gigas,OsHV-1 μVar,Domeneghetti et al. 2014,"Mortality occurrence and pathogen detection in Crassostrea gigas and Mytilus galloprovincialis close-growing in shallow waters (Goro lagoon, Italy)"
2012,Magallana gigas,OsHV-1 μVar,Gittenberger et al. 2016,"Ostreid herpesvirus OsHV-1lVar in Pacific oystersCrassostrea gigas (Thunberg 1793) of the Wadden Sea, aUNESCO world heritage site"
2012,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2016,An investigation of ostreid herpes virus microvariants found in Crassostrea gigas oyster producing bays in Ireland
2013,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Crassostrea hongkongensis,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Magallana gigas,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Meretrix meretrix,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Ruditapes phillipinarum,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Scapharca broughtonii,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2013,Magallana gigas,OsHV-1,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy"
2013,Crassostrea angulata,OsHV-1,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread
2013,Scapharca broughtonii,OsHV-1,Bai et al. 2016,Identification and characterization of ostreid herpesvirus 1 associated with massive mortalities of Scapharca broughtonii broodstocks in China
2013,Mytilus spp.,OsHV-1 μVar,O'Reilly et al. 2018,The role of the mussel Mytilus spp. in the transmission of ostreid herpesvirus-1 microVar
2013,Magallana gigas,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2013,Saccostrea glomerata,OsHV-1 μVar,Evans et al. 2017,"Detection of ostreid herpesvirus 1 microvariant DNA in aquatic invertebrate species, sediment and other samples collected from the Georges River estuary, New South Wales, Australia"
2013,Crassostrea brasiliana,OsHV-1,Mello et al. 2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast
2013,Magallana gigas,OsHV-1,Mello et al. 2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast
2013,Magallana gigas,OsHV-1 μVar,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread
2013,Magallana gigas,OsHV-1 μVar,Fleury et al. 2020,"Latitudinal drivers of oyster mortality: deciphering host, pathogen and environmental risk factors"
2013,Magallana gigas,OsHV-1 μVar,Gangnery et al. 2019,Connectivities with shellfish farms and channel rivers are associated with mortality risk in oysters
2013,Magallana gigas,OsHV-1 μVar,Pernet et al. 2018,Determination of risk factors for herpesvirus outbreak in oysters using a broad-scale spatial epidemiology framework
2013,Magallana gigas,OsHV-1 μVar,Whittington et al. 2015,"Further observations on the influence of husbandry practices on OsHV-1 μVar mortality in Pacific oysters Crassostrea gigas: Age, cultivation structures and growing height"
2013,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2013,Magallana gigas,OsHV-1 non-μvar variant,Trancart et al. 2023,Diversity and molecular epidemiology of Ostreid herpesvirus 1 in farmed Crassostrea gigas in Australia: Geographic clusters and implications for “microvariants” in global mortality events
2013,Magallana gigas,OsHV-1 μVar,Paul-Pont et al. 2014,"Descriptive epidemiology of mass mortality due to Ostreid herpesvirus-1 (OsHV-1) in commercially farmed Pacific oysters (Crassostrea gigas) in the Hawkesbury River estuary, Australia"
2013,Magallana gigas,OsHV-1 μVar,Domeneghetti et al. 2014,"Mortality occurrence and pathogen detection in Crassostrea gigas and Mytilus galloprovincialis close-growing in shallow waters (Goro lagoon, Italy)"
2013,Magallana gigas,OsHV-1 μVar,Mortensen et al. 2016,Summer mortalities and detection of ostreid herpesvirus microvariant in Pacific oyster Crassostrea gigas in Sweden and Norway
2014,Scapharca broughtonii,OsHV-1,Bai et al. 2018,Dual transcriptomic analysis of Ostreid herpesvirus 1 infected Scapharca broughtonii with an emphasis on viral anti-apoptosis activities and host oxidative bursts
2014,Octopus vulgaris,OsHV-1 μVar,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?
2014,Mytilus spp.,OsHV-1 μVar,O'Reilly et al. 2018,The role of the mussel Mytilus spp. in the transmission of ostreid herpesvirus-1 microVar
2014,Crassostrea brasiliana,OsHV-1,Mello et al. 2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast
2014,Magallana gigas,OsHV-1,Mello et al. 2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast
2014,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2014,Magallana gigas,OsHV-1,Burioli et al. 2017,First description of a mortality event in adult Pacific oysters in Italy associated with infection by a Tenacibaculum soleae strain
2014,Magallana gigas,OsHV-1 non-μvar variant,Trancart et al. 2023,Diversity and molecular epidemiology of Ostreid herpesvirus 1 in farmed Crassostrea gigas in Australia: Geographic clusters and implications for “microvariants” in global mortality events
2014,Magallana gigas,OsHV-1 μVar,Mortensen et al. 2016,Summer mortalities and detection of ostreid herpesvirus microvariant in Pacific oyster Crassostrea gigas in Sweden and Norway
2014,Ostrea edulis,OsHV-1 μVar,López Sanmartín et al. 2016,"Experimental infection of European flat oyster Ostrea edulis with ostreid herpesvirus 1 microvar (OsHV-1 μVar): Mortality, viral load and detection of viral transcripts by in situ hybridization"
2015,Octopus vulgaris,OsHV-1 μVar,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?
2015,Carcinus maenas,OsHV-1 μVar,Bookelaar et al. 2018,Role of the intertidal predatory shore crab Carcinus maenas in transmission dynamics of ostreid herpesvirus-1 microvariant
2015,Mytilus spp.,OsHV-1 μVar,O'Reilly et al. 2018,The role of the mussel Mytilus spp. in the transmission of ostreid herpesvirus-1 microVar
2015,Cerastoderma edule,OsHV-1 μVar,Bookelaar et al. 2020,Host plasticity supports spread of an aquaculture introduced virus to an ecosystem engineer
2015,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2015,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2015,Magallana gigas,OsHV-1 non-μvar variant,Trancart et al. 2023,Diversity and molecular epidemiology of Ostreid herpesvirus 1 in farmed Crassostrea gigas in Australia: Geographic clusters and implications for “microvariants” in global mortality events
2016,Magallana gigas,OsHV-1 μVar,de Kantzow et al. 2017,"Risk factors for mortality during the first occurrence of Pacific Oyster Mortality Syndrome due to Ostreid herpesvirus – 1 in Tasmania, 2016"
2016,Mytilus galloprovincialis,OsHV-1,Battistini et al. 2020,"Microbiological and Histological Analysis for the Evaluation of Farmed Mussels (Mytilus galloprovincialis) Health Status, in Coastal Areas of Italy"
2016,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2016,Magallana gigas,OsHV-1 μVar,Burioli et al. 2018,A novel divergent group of Ostreid herpesvirus 1 μVar variants associated with a mortality event in Pacific oyster spat in Normandy (France) in 2016
2016,Magallana gigas,OsHV-1 μVar,Pande & Andel 2018,"Ostreid herpesvirus and Vibrio species pilot surveillance study farmed Pacific Oysters (Magallana gigas) in Croisilles Harbour, Marlborough Sounds, New Zealand."
2016,Magallana gigas,OsHV-1 μVar,Abbadi et al. 2018,Identification of a newly described OsHV-1 μVar from the North Adriatic Sea (Italy)
2017,Magallana gigas,OsHV-1 μVar,Ugalde et al. 2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia"
2017,Scapharca subcrenata,OsHV-1,Gao et al. 2018,Real-time quantitative isothermal detection of Ostreid herpesvirus-1 DNA in Scapharca subcrenata using recombinase polymerase amplification
2017,Mytilus galloprovincialis,OsHV-1,Battistini et al. 2020,"Microbiological and Histological Analysis for the Evaluation of Farmed Mussels (Mytilus galloprovincialis) Health Status, in Coastal Areas of Italy"
2017,Magallana gigas,OsHV-1 μVar,Whittington et al. 2019,Long-term temporal and spatial patterns of Ostreid herpesvirus 1 (OsHV-1) infection and mortality in sentinel Pacific oyster spat (Crassostrea gigas) inform farm management
2017,Magallana gigas,OsHV-1 μVar,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2017,Magallana gigas,OsHV-1,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2017,Magallana gigas,AVNV,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2017,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2017,Magallana gigas,OsHV-1 μVar,Pande & Andel 2018,"Ostreid herpesvirus and Vibrio species pilot surveillance study farmed Pacific Oysters (Magallana gigas) in Croisilles Harbour, Marlborough Sounds, New Zealand."
2017,Magallana gigas,OsHV-1 μVar,Barbieri et al. 2019,First detection of Ostreid herpesvirus 1 in wild Crassostrea gigas in Argentina
2017,Crassoastrea virginica,OsHV-1 μVar,Friedman et al. 2020,Unraveling concordant and varying responses of oyster species to Ostreid Herpesvirus 1 variants
2017,Crassostrea sikamea,OsHV-1 μVar,Friedman et al. 2020,Unraveling concordant and varying responses of oyster species to Ostreid Herpesvirus 1 variants
2017,Magallana gigas,OsHV-1,Friedman et al. 2020,Unraveling concordant and varying responses of oyster species to Ostreid Herpesvirus 1 variants
2017,Magallana gigas,OsHV-1 μVar,Kim et al. 2019,Mass mortality in Korean bay scallop (Argopecten irradians) associated with Ostreid Herpesvirus-1 μVar
2017,Arenicola marina,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Balanus spp.,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Carcinus maenas,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Cerastoderma edule,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Crangon crangon,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Crepidula fornicata,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Gammarus obtusatus,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Golfingia vulgaris,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,L. conchilega,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Lineus spp.,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Littorina littorea,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Mytilus edulis,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Phyllodoce mucosa,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Scoloplos armiger,OsHV-1 μVar,Vanhuysse et al. 2021,Changes in benthic macrofauna in oyster parks during an OsHV-1 μVar oyster spat mortality outbreak
2017,Mytilus spp.,OsHV-1,Pernet et al. 2021,Competition for food reduces disease susceptibility in a marine invertebrate
2017,Ostrea edulis,OsHV-1,Pernet et al. 2021,Competition for food reduces disease susceptibility in a marine invertebrate
2018,Magallana gigas,OsHV-1 μVar,Burge et al. 2021,"The first detection of a novel OsHV-1 microvariant in San Diego, California, USA"
2018,Magallana gigas,OsHV-1 μVar,Corporeau et al. 2022,Harsh intertidal environment enhances metabolism and immunity in oyster (Crassostrea gigas) spat
2018,Magallana gigas,OsHV-1 μVar,Mosca et al. 2021,Crassostrea gigas (Thunberg 1793) cultivation in southern Adriatic Sea (Italy): A one-year monitoring study of the oyster health
2018,Magallana gigas,OsHV-1 μVar,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2018,Magallana gigas,OsHV-1,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2018,Magallana gigas,AVNV,Martínez-García et al. 2020,"Prevalence and genotypic diversity of ostreid herpesvirus type 1 in Crassostrea gigas cultured in the Gulf of California, Mexico"
2018,Magallana gigas,OsHV-1 μVar,Pande & Andel 2018,"Ostreid herpesvirus and Vibrio species pilot surveillance study farmed Pacific Oysters (Magallana gigas) in Croisilles Harbour, Marlborough Sounds, New Zealand."
2018,Magallana gigas,OsHV-1 μVar,Divilov et al. 2019,First evaluation of resistance to both a California OsHV-1 variant and a French OsHV-1 microvariant in Pacific oysters
2018,Magallana gigas,OsHV-1 μVar,Kim et al. 2019,Mass mortality in Korean bay scallop (Argopecten irradians) associated with Ostreid Herpesvirus-1 μVar
2019,Scapharca broughtonii,OsHV-1,Bai et al. 2022,Paired miRNA and RNA sequencing provides a first insight into molecular defense mechanisms of Scapharca broughtonii during ostreid herpesvirus-1 infection
2020,Magallana gigas,OsHV-1,Zhang et al. 2023,Identification and Characterization of Infectious Pathogens Associated with Mass Mortalities of Pacific Oyster (Crassostrea gigas) Cultured in Northern China
2020,Magallana gigas,OsHV-1,Shukla et al. in prep,"Stress Hardening May Impact Pacific Oyster (Magallana gigas), but not Kumamoto Oyster (Crassostrea sikamea), Responses to an OsHV-1 Outbreak in Tomales Bay, CA"
2021,Crassostrea sikamea,OsHV-1,Shukla et al. in prep,"Stress Hardening May Impact Pacific Oyster (Magallana gigas), but not Kumamoto Oyster (Crassostrea sikamea), Responses to an OsHV-1 Outbreak in Tomales Bay, CA"
2021,Magallana gigas,OsHV-1,Shukla et al. in prep,"Stress Hardening May Impact Pacific Oyster (Magallana gigas), but not Kumamoto Oyster (Crassostrea sikamea), Responses to an OsHV-1 Outbreak in Tomales Bay, CA"
2022,Magallana gigas,OsHV-1,Shukla et al. in prep,"Stress Hardening May Impact Pacific Oyster (Magallana gigas), but not Kumamoto Oyster (Crassostrea sikamea), Responses to an OsHV-1 Outbreak in Tomales Bay, CA"
NA,Crassostrea angulata,OsHV-1 μVar,Sanmartín et al. 2016,Evidence of vertical transmission of ostreid herpesvirus 1 in the Portuguese oyster Crassostrea angulata
NA,Scapharca broughtonii,OsHV-1,Xin et al. 2018,"Ostreid Herpesvirus-1 Infects Specific Hemocytes in Ark Clam, Scapharca broughtonii"
NA,Scapharca broughtonii,OsHV-1,Xin et al. 2018,"Validation of housekeeping genes for quantitative mRNA expression analysis in OsHV-1 infected ark clam, Scapharca broughtonii"
NA,Scapharca broughtonii,OsHV-1,Wang et al. 2022,Characterization  of  a  Novel  C-type  Lectin  against  OsHV-1  infection  in Scapharca broughtonii
NA,Tiostrea chilensis,OsHV-1,Hine et al. 1998,Replication of a herpes-like virus in larvae of the flat oyster Tiostrea chilensis at ambient temperatures
NA,Ostrea edulis,Herpes-like virus,Comps & Cochennec 1993,A Herpes-like Virus from the European Oyster Ostrea edulis L.
NA,Chlamys farreri,AVNV,Chen et al. 2013,A preliminary study of differentially expressed genes of the scallop Chlamys farreri against acute viral necrobiotic virus (AVNV)
NA,Chlamys farreri,AVNV,Chen et al. 2011,Haemocyte protein expression profiling of scallop Chlamys farreri response to acute viral necrosis virus (AVNV) infection
NA,Scapharca broughtonii,OsHV-1,Huang et al. 2022,"Iron Regulatory Protein 1 Inhibits Ferritin Translation Responding to OsHV-1 Infection in Ark Clams, Scapharca Broughtonii"
NA,Scapharca broughtonii,OsHV-1,Xin et al. 2020,"Influence of temperature on the pathogenicity of Ostreid herpesvirus-1 in ark clam, Scapharca broughtonii"
NA,Chlamys farreri,AVNV,Chen et al. 2014,Bioinformatics analysis of hemocyte miRNAs of scallop Chlamys farreri against acute viral necrobiotic virus (AVNV)
NA,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
NA,Magallana gigas,OsHV-1,Arzeta-Pino et al. 2018,Herpes virus OsHV‐1 and the protistPerkinsus marinusmodifythe expression of the Down syndrome cell adhesion moleculegene in gill and mantle ofCrassostreaspp.
NA,Magallana gigas,Herpes-like virus,Le Deuff et al. 1994,"Experimental transmission of a Herpes-like virus to axenic larvae of Pacific oyster, Crassostrea gigas"
NA,Magallana gigas,Herpes-like virus,Le Deuff et al. 1996,Effects of temperature on herpes-like virus detection among hatchery-reared larval Pacific oyster Crassostrea gigas
NA,Scapharca broughtonii,OsHV-1,Bai et al. 2017,Experimental infection of adult Scapharca broughtonii with Ostreid herpesvirus SB strain
NA,Scapharca broughtonii,OsHV-1,Xin et al. 2019,"OsHV-1 infection leads to mollusc tissue lesion and iron redistribution, revealing a strategy of iron limitation against pathogen"
