Year_Sampled,Species,OsHV_var,Paper,Title
2001,Ostrea edulis,OsHV-1,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain)
2001,Magallana gigas,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2001,Ostrea edulis,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2001,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2002,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2002,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2002,Crassostrea hongkongensis,OsHV-1,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay
2002,Ostrea edulis,OsHV-1,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain)
2002,Ostrea edulis,OsHV-1,Arzul et al. 2001,Experimental herpes-like viral infections in marine bivalves: demonstration of interspecies transmission
2002,Magallana gigas,Herpesvirus,Friedman et al. 2005,"Herpes virus in juvenile Pacific oysters Crassostrea gigas from Tomales Bay, California, coincides with summer mortality episodes"
2002,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2003,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2003,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2003,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2003,Ostrea edulis,OsHV-1,da Silva et al. 2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain)
2003,Crassostrea sikamea,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Crassostrea virginica,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Magallana gigas,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Mytilus galloprovincialis,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Ostrea edulis,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Ruditapes phillipinarum,OsHV,Burge et al. 2011,"Detection of the oyster herpesvirus in commercial bivalve in northern California, USA: conventional and quantitative PCR"
2003,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2003,Magallana gigas,OsHV-1 μVar,Burge et al. 2006,"Mortality and herpesvirus infections of the Pacific oyster Crassostrea gigas in Tomales Bay, California, USA"
2003,Magallana gigas,OsHV-1 μVar,Lynch et al. 2012,"A previously undescribed ostreid herpes virus 1 (OsHV-1) genotype detected in the pacific oyster, Crassostrea gigas, in Ireland"
2004,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2004,Crassostrea ariakensis,OsHV-1,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay
2004,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2004,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2004,Crassostrea angulata,OsHV-1,Batista et al. 2014,"Insights on the association between somatic aneuploidy and ostreid herpesvirus 1 detection in the oysters Crassostrea gigas, C. angulata and their F1 hybrids"
2004,Crassostrea hybrid,OsHV-1,Batista et al. 2014,"Insights on the association between somatic aneuploidy and ostreid herpesvirus 1 detection in the oysters Crassostrea gigas, C. angulata and their F1 hybrids"
2004,Magallana gigas,OsHV-1,Batista et al. 2014,"Insights on the association between somatic aneuploidy and ostreid herpesvirus 1 detection in the oysters Crassostrea gigas, C. angulata and their F1 hybrids"
2004,Magallana gigas,OsHV-1 μVar,Lynch et al. 2012,"A previously undescribed ostreid herpes virus 1 (OsHV-1) genotype detected in the pacific oyster, Crassostrea gigas, in Ireland"
2004,Magallana gigas,OsHV-1 μVar,Martenot et al. 2012,Detection of the OsHV-1 μVar in the Pacific oyster Crassostrea gigas before 2008 in France and description of two new microvariants of the Ostreid Herpesvirus 1 (OsHV-1)
2005,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2005,Magallana gigas,OsHV-1 μVar,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2005,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2005,Crassostrea ariakensis,OsHV-1,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay
2005,Crassostrea sikamea,OsHV-1,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay
2005,Magallana gigas,OsHV-1,Moss et al. 2007,Pathogens in Crassostrea ariakensis and other Asian oyster species: implications for non-native oyster introduction to Chesapeake Bay
2005,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2005,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2005,Magallana gigas,OsHV-1 μVar,Martenot et al. 2012,Detection of the OsHV-1 μVar in the Pacific oyster Crassostrea gigas before 2008 in France and description of two new microvariants of the Ostreid Herpesvirus 1 (OsHV-1)
2005,Magallana gigas,OsHV-1 μVar,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2005,Magallana gigas,OsHV-1,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2006,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2006,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2006,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2006,Magallana gigas,OsHV-1 μVar,Garcia et al. 2011,Ostreid herpesvirus 1 detection and relationship with Crassostrea gigas spat mortality in France between 1998 and 2006
2007,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2007,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2007,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2007,Crassostrea ariakensis,OsHV-1,Shimahara et al. 2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan
2007,Crassostrea sikamea,OsHV-1,Shimahara et al. 2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan
2007,Magallana gigas,OsHV-1,Shimahara et al. 2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan
2007,Chlamys farreri,AVNV,Ren et al. 2013,"Complete genome sequence of acute viral necrosis virus associated with massive mortality outbreaks in the Chinese scallop, Chlamys farreri"
2007,Chlamys farreri,AVNV,Tang et al. 2010,Physiological and immune responses of zhikong scallop Chlamys farreri to the acute viral necrobiotic virus infection
2008,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2008,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2008,Magallana gigas,OsHV-1 μVar,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2008,Magallana gigas,OsHV-1,Segarra et al. 2010,"Detection and description of a particular Ostreid herpesvirus 1 genotype associated with massive mortality outbreaks of Pacific oysters, Crassostrea gigas, in France in 2008"
2008,Magallana gigas,OsHV-1 μVar,Schikorski et al. 2011,Experimental infection of Pacific oyster Crassostrea gigas spat by ostreid herpesvirus 1: demonstration of oyster spat susceptibility
2008,Magallana gigas,OsHV-1 μVar,Martenot et al. 2011,"Detection of different variants of Ostreid Herpesvirus 1 in the Pacific oyster, Crassostrea gigas between 2008 and 2010"
2008,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2008,Magallana gigas,OsHV-1 μVar,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2008,Magallana gigas,OsHV-1,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
